Region/Country/Area,Area,Year,Series,Value
1,"Total, all countries or areas",2000,Percentage of individuals using the internet,5.3
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.6
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.5
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,40
1,"Total, all countries or areas",2019,Percentage of individuals using the internet,53.7
1,"Total, all countries or areas",2020,Percentage of individuals using the internet,59.6
1,"Total, all countries or areas",2021,Percentage of individuals using the internet,62.6
15,Northern Africa,2000,Percentage of individuals using the internet,0.6
15,Northern Africa,2005,Percentage of individuals using the internet,9.7
15,Northern Africa,2010,Percentage of individuals using the internet,23.2
15,Northern Africa,2015,Percentage of individuals using the internet,36.6
15,Northern Africa,2019,Percentage of individuals using the internet,56
15,Northern Africa,2020,Percentage of individuals using the internet,64.8
15,Northern Africa,2021,Percentage of individuals using the internet,70.6
202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.9
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,16
202,Sub-Saharan Africa,2019,Percentage of individuals using the internet,27.4
202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,31.5
202,Sub-Saharan Africa,2021,Percentage of individuals using the internet,34.9
14,Eastern Africa,2000,Percentage of individuals using the internet,0.6
14,Eastern Africa,2005,Percentage of individuals using the internet,1.2
14,Eastern Africa,2010,Percentage of individuals using the internet,3.2
14,Eastern Africa,2015,Percentage of individuals using the internet,10.5
14,Eastern Africa,2019,Percentage of individuals using the internet,15.3
14,Eastern Africa,2020,Percentage of individuals using the internet,17.2
14,Eastern Africa,2021,Percentage of individuals using the internet,20.7
17,Middle Africa,2000,Percentage of individuals using the internet,0.3
17,Middle Africa,2005,Percentage of individuals using the internet,0.7
17,Middle Africa,2010,Percentage of individuals using the internet,2.1
17,Middle Africa,2015,Percentage of individuals using the internet,10
17,Middle Africa,2019,Percentage of individuals using the internet,22.1
17,Middle Africa,2020,Percentage of individuals using the internet,27.2
17,Middle Africa,2021,Percentage of individuals using the internet,27.9
18,Southern Africa,2000,Percentage of individuals using the internet,4.9
18,Southern Africa,2005,Percentage of individuals using the internet,7
